Project Type,City,County,Digester Type,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),Receiving Utility,Total Emission Reductions (MTCO2e/yr),Awarded USDA Funding?
Farm Scale,Hilmar,Merced,Covered Lagoon,Dairy,,2400,,,120000,,CNG,Pacific Gas and Electric,21339.69816,
Farm Scale,Riverdale,Fresno,Covered Lagoon,Dairy,,6500,,,325000,,CNG,Pacific Gas and Electric,57795.01584,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,6300,,,315000,,CNG,,61358.31318,
Farm Scale,Hilmar,Merced,Covered Lagoon,Dairy,,2000,,,100000,,CNG,Pacific Electricty and Gas,17783.0818,
Farm Scale,Lamar,Prowers,Complete Mix,Swine,,,,5500,,Project Name,Flared Full-time,,2851.147256,
Farm Scale,Windsor,Weld,Mixed Plug Flow,Dairy,,7100,,,,,Pipeline Gas,,69937.88897,
Farm Scale,Thompson,,Complete Mix,Dairy,,430,,,,3500000,Cogeneration,Eversource,3344.910433,
Farm Scale,East Cannan,Litchfield,Horizontal Plug Flow,Dairy,,250,,,14000,,Boiler/Furnace fuel,,2366.892814,Yes
Farm Scale,Coventry,,Complete Mix,Dairy,,475,,,,4500000,Electricity,,4234.46665,
Farm Scale,Ellington,Tolland,,Dairy,,2800,,,,,Pipeline Gas,Elizabethtown Gas,3030.186586,
Farm Scale,Trenton,Gilchrist,Mixed Plug Flow,Dairy,,6500,,,,7446000,Electricity,,67862.86747,
Farm Scale,Lee,Madison,Mixed Plug Flow,Dairy,,4309,,,,,Pipeline Gas,,46202.72135,
Farm Scale,O'Brien,Suwannee,Mixed Plug Flow,Cattle,5000,,,,,4467600,Electricity,,13836.35731,
Research,Hague,Alachua,Fixed Film/Attached Media,Dairy,,500,,,,,Boiler/Furnace fuel,,5466.748894,
Research,Athens,Oglethorpe,Unknown or Unspecified,Swine,,,,100,,,Boiler/Furnace fuel,,121.7064757,
Farm Scale,New Liberty,Scott,Complete Mix,Cattle,2400,,,,390000,6742081,Cogeneration,"Alliant Energy, Inc.",11617.47699,Yes
Farm Scale,Amana,Iowa,Mixed Plug Flow,Cattle,1250,,,,1848700,22776000,Cogeneration,Amana Society Service Company,17502.18894,Yes
Farm Scale,Williamsburg,Iowa,Covered Lagoon,Swine,,,,3000,,,Flared Full-time,,2866.718563,
Farm Scale,State Center,Marshall,Complete Mix,Dairy,,8000,,,,,Pipeline Gas,,77454.97049,
Farm Scale,Rock Valley,Sioux,Mixed Plug Flow,Dairy,,9000,,,,,CNG,,,
Farm Scale,Doon,Lyon,Mixed Plug Flow,Dairy,,8000,,,,,CNG,,,
Farm Scale,Westgate,Fayette,Horizontal Plug Flow,Dairy,,700,,,,876000,Cogeneration,"Alliant Energy, Inc.",2745.413287,
Farm Scale,Rock Valley,Sioux,Mixed Plug Flow,Dairy,,2100,,,,,Pipeline Gas,,20331.92975,
Farm Scale,Jerome,Jerome,Mixed Plug Flow,Dairy,,15000,,,,,Pipeline Gas,,145949.9284,Yes
Multiple Farm/Facility,Filer,Twin Falls,Complete Mix,Dairy,,8900,,,,15550000,Electricity,Idaho Power Company,87163.21481,Yes
Farm Scale,Jerome,Jerome,Complete Mix,Dairy,,7200,,,,12000000,Cogeneration,Idaho Power Company,70100.57496,
Farm Scale,Gooding,Gooding,Mixed Plug Flow,Dairy,,5400,,,648000,9500000,Electricity,Idaho Power Company,52932.02322,
Farm Scale,Hansen,Twin Falls,Mixed Plug Flow,Dairy,,10000,,,,18527400,Electricity,Idaho Power Company,98688.95491,
Farm Scale,Roberts,Jefferson,Complete Mix,Dairy,,5500,,,,12658200,Cogeneration,Rocky Mountain Power,56039.15603,
Farm Scale,Jerome,Jerome,Complete Mix,Dairy,,35000,,,,,Pipeline Gas,,340549.8329,
Farm Scale,Burley,Cassia,Complete Mix,Dairy,,,,,,,Pipeline Gas,,,
Farm Scale,Burley,Cassia,Covered Lagoon,Dairy,,,,,,,Pipeline Gas,,,
Farm Scale,Burley,Cassia,Complete Mix,Dairy,,,,,,,Pipeline Gas,,,
Farm Scale,Burley,Cassia,Covered Lagoon,Dairy,,,,,,,Pipeline Gas,,,
Farm Scale,Rio,Knox,Covered Lagoon,Swine,,,,8900,36000,315360,Cogeneration,,3632.31868,
Farm Scale,Pearl City,Caroll,Mixed Plug Flow,Dairy,,850,,,22000,1533000,Cogeneration,Commonwealth Edison,3869.877365,Yes
Farm Scale,Reynolds,White,Mixed Plug Flow,Cattle; Swine,4500,,,800,,70364700,Cogeneration,Northern Indiana Power Service Co.,55065.67622,Yes
Farm Scale,Fair Oaks,Jasper,Mixed Plug Flow,Dairy,,3600,,,,,CNG,,30513.95833,
Farm Scale,Fair Oaks,Jasper,Mixed Plug Flow,Dairy,,12000,,,1200000,7818300,Cogeneration; CNG,Jasper County REMC,42624.36164,
Farm Scale,Fair Oaks,Jasper,Mixed Plug Flow,Dairy,,4300,,,430000,,CNG,,13275.7036,
Centralized/Regional,Goshen,Elkhart,Mixed Plug Flow,Dairy,,1500,,,907200,,Cogeneration,NIPSCO,22436.41114,
Farm Scale,Fair Oaks,Jasper,Mixed Plug Flow,Dairy,,5250,,,450000,,CNG,,16208.70789,
Farm Scale,Rensselaer,Jasper,Mixed Plug Flow,Dairy,,4000,,,,7073700,Cogeneration,,38949.24781,
Farm Scale,Plymouth,Marshall,Complete Mix,Dairy,,2100,,,,7446000,Electricity,NIPSCO,23110.17709,
Multiple Farm/Facility,Huntington,Huntington,Mixed Plug Flow,Dairy,,4500,,,,,CNG,,,
Farm Scale,Rensselaer,Jasper,Mixed Plug Flow,Dairy,,3611,,,,,Pipeline Gas,,34657.77314,
Farm Scale,Reynolds,White,Mixed Plug Flow,Dairy,,9240,,,,,Pipeline Gas,,10364.81254,
Centralized/Regional,Monticello,White,Complete Mix,Cattle; Swine,300,,,4000,408000,8370000,Cogeneration,Northern Indiana Power Service Co.,7748.344689,Yes
Farm Scale,Fair Oaks,Jasper,Mixed Plug Flow,Dairy,,7000,,,840000,,CNG,,59332.69675,
Farm Scale,Hanford,CA,Covered Lagoon,Cattle; Dairy,40000,39000,,,1365000,,CNG,SoCalGas,,
Farm Scale,Campbellsville,Taylor,Primary digester tank with secondary covered lagoon,Poultry,,,160000,,,3300000,Electricity,East Kentucky Power,6611.073485,
Farm Scale,Hadley,Hampshire,Complete Mix,Dairy,,550,,,,7000000,Cogeneration,Eversource,8085.998265,
Farm Scale,Deerfield,Franklin,Complete Mix,Dairy,,300,,,,,Electricity,,6067.78439,Yes
Farm Scale,Haverhill,Essex,Complete Mix,Dairy,,500,,,345600,7700000,Cogeneration,National Grid,5502.906431,
Farm Scale,Rutland,Worcester,Complete Mix,Dairy,,300,,,,3700000,Cogeneration,National Grid,4836.347346,Yes
Farm Scale,Spencer,Worcester,Complete Mix,Dairy,,800,,,,,Cogeneration,,7461.136033,
Farm Scale,Hatfield,Hampshire,Complete Mix,Cattle; Dairy,30,174,,,,2365200,Electricity,,3045.216042,Yes
Farm Scale,Sheffield,Berkshire,Mixed Plug Flow,Dairy,,600,,,59000,,Cogeneration,National Grid,3856.080218,Yes
Farm Scale,Granville,Hampden,Complete Mix,Dairy,,602,,,,3287628,Electricity,,5491.998879,
Farm Scale,Pocomoke City,,Complete Mix,Poultry,,,80000,,,100000,Electricity; Boiler/Furnace fuel,,59.20137231,
Research,Beltsville,Prince Georges,Complete Mix,Dairy,,145,,,13000,,Boiler/Furnace fuel,,1185.616638,
Multiple Farm/Facility,Clinton,Kennebec,Mixed Plug Flow,Dairy,,5275,,,,,Pipeline Gas,Summit Natural Gas,17161.84297,
Farm Scale,Exeter,Penobscot,Complete Mix,Dairy,,1500,,,,8584800,Electricity,,9427.045312,Yes
